pitch_type,batter,at_bat_number,pitch_number,inning,bat_score,fld_score,stand,balls,strikes,outs_when_up,on_3b,on_2b,on_1b,woba_value,launch_speed_angle,game_pk,pitch_pk
FF,444379,1,1,1,0,0,1,0,0,0,1,1,1,,,415056,2015072100101
FF,444379,1,2,1,0,0,1,1,0,0,1,1,1,,,415056,2015072100102
FF,444379,1,3,1,0,0,1,1,1,0,1,1,1,,,415056,2015072100103
SI,444379,1,4,1,0,0,1,2,1,0,1,1,1,1.25,,415056,2015072100104
FF,519306,2,1,1,0,0,0,0,0,0,1,0,1,,,415056,2015072100201
SI,519306,2,2,1,0,0,0,0,1,0,1,0,1,,,415056,2015072100202
FF,519306,2,3,1,0,0,0,0,2,0,1,0,1,0.0,,415056,2015072100203
CU,446334,3,1,1,0,0,0,0,0,1,1,0,1,,,415056,2015072100301
FF,446334,3,2,1,0,0,0,1,0,1,1,0,1,,,415056,2015072100302
FF,446334,3,3,1,0,0,0,1,1,1,1,0,1,,,415056,2015072100303
CU,446334,3,4,1,0,0,0,1,2,1,1,0,1,,,415056,2015072100304
CU,446334,3,5,1,0,0,0,2,2,1,1,0,1,0.0,,415056,2015072100305
FF,425766,4,1,1,0,0,1,0,0,2,1,0,1,,,415056,2015072100401
FF,425766,4,2,1,0,0,1,0,1,2,1,0,1,,,415056,2015072100402
CH,425766,4,3,1,0,0,1,1,1,2,1,0,1,,,415056,2015072100403
FF,425766,4,4,1,0,0,1,1,2,2,1,0,1,,,415056,2015072100404
CU,425766,4,5,1,0,0,1,1,2,2,1,0,1,,,415056,2015072100405
SI,425766,4,6,1,0,0,1,2,2,2,1,0,1,0.0,,415056,2015072100406
FF,523253,9,1,2,0,0,0,0,0,0,1,1,1,,,415056,2015072100901
FF,523253,9,2,2,0,0,0,1,0,0,1,1,1,,,415056,2015072100902
FF,523253,9,3,2,0,0,0,2,0,0,1,1,1,,,415056,2015072100903
FF,523253,9,4,2,0,0,0,2,1,0,1,1,1,,,415056,2015072100904
CU,523253,9,5,2,0,0,0,2,2,0,1,1,1,0.0,,415056,2015072100905
FF,595281,10,1,2,0,0,1,0,0,1,1,1,1,0.0,,415056,2015072101001
FF,518653,11,1,2,0,0,0,0,0,2,1,1,1,,,415056,2015072101101
CU,518653,11,2,2,0,0,0,0,1,2,1,1,1,0.9,,415056,2015072101102
CU,425784,12,1,2,0,0,0,0,0,2,1,1,0,,,415056,2015072101201
CU,425784,12,2,2,0,0,0,0,1,2,1,1,0,,,415056,2015072101202
FF,425784,12,3,2,0,0,0,0,2,2,1,1,0,0.0,,415056,2015072101203
FF,501992,18,1,3,0,0,0,0,0,0,1,1,1,2.0,6.0,415056,2015072101801
FF,444379,19,1,3,1,0,1,0,0,0,1,1,1,,,415056,2015072101901
SI,444379,19,2,3,1,0,1,1,0,0,1,1,1,,,415056,2015072101902
FF,444379,19,3,3,1,0,1,2,0,0,1,1,1,,,415056,2015072101903
CH,444379,19,4,3,1,0,1,2,1,0,1,1,1,,,415056,2015072101904
FF,444379,19,5,3,1,0,1,3,1,0,1,1,1,,,415056,2015072101905
CH,444379,19,6,3,1,0,1,3,2,0,1,1,1,0.0,2.0,415056,2015072101906
FF,519306,20,1,3,1,0,0,0,0,1,1,1,1,,,415056,2015072102001
SI,519306,20,2,3,1,0,0,0,1,1,1,1,1,,,415056,2015072102002
FF,519306,20,3,3,1,0,0,0,2,1,1,1,1,,,415056,2015072102003
CU,519306,20,4,3,1,0,0,0,2,1,1,1,1,0.0,,415056,2015072102004
SI,446334,21,1,3,1,0,0,0,0,2,1,1,1,,,415056,2015072102101
CU,446334,21,2,3,1,0,0,1,0,2,1,1,1,,,415056,2015072102102
CH,446334,21,3,3,1,0,0,1,1,2,1,1,1,0.0,2.0,415056,2015072102103
CH,425766,26,1,4,1,0,1,0,0,0,1,1,1,,,415056,2015072102601
FF,425766,26,2,4,1,0,1,0,1,0,1,1,1,,,415056,2015072102602
SI,425766,26,3,4,1,0,1,1,1,0,1,1,1,0.0,2.0,415056,2015072102603
FF,523253,27,1,4,1,0,0,0,0,1,1,1,1,,,415056,2015072102701
CH,523253,27,2,4,1,0,0,0,1,1,1,1,1,,,415056,2015072102702
SI,523253,27,3,4,1,0,0,0,2,1,1,1,1,0.0,4.0,415056,2015072102703
CH,595281,28,1,4,1,0,1,0,0,2,1,1,1,,,415056,2015072102801
SI,595281,28,2,4,1,0,1,1,0,2,1,1,1,0.0,4.0,415056,2015072102802
FF,518653,32,1,5,1,0,0,0,0,0,1,1,1,,,415056,2015072103201
FF,518653,32,2,5,1,0,0,1,0,0,1,1,1,,,415056,2015072103202
FF,518653,32,3,5,1,0,0,1,1,0,1,1,1,0.0,2.0,415056,2015072103203
FF,425784,33,1,5,1,0,0,0,0,1,1,1,1,,,415056,2015072103301
FF,425784,33,2,5,1,0,0,1,0,1,1,1,1,,,415056,2015072103302
SI,425784,33,3,5,1,0,0,2,0,1,1,1,1,,,415056,2015072103303
CH,425784,33,4,5,1,0,0,2,1,1,1,1,1,,,415056,2015072103304
CH,425784,33,5,5,1,0,0,2,2,1,1,1,1,0.9,4.0,415056,2015072103305
SI,501992,34,1,5,1,0,0,0,0,1,1,1,0,,,415056,2015072103401
SI,501992,34,2,5,1,0,0,1,0,1,1,1,0,,,415056,2015072103402
SI,501992,34,3,5,1,0,0,1,1,1,1,1,0,,,415056,2015072103403
CU,501992,34,4,5,1,0,0,1,2,1,1,1,0,0.0,,415056,2015072103404
CU,444379,35,1,5,1,0,1,0,0,2,1,1,0,,,415056,2015072103501
CH,444379,35,2,5,1,0,1,1,0,2,1,1,0,,,415056,2015072103502
SI,444379,35,3,5,1,0,1,1,1,2,1,1,0,,,415056,2015072103503
CU,444379,35,4,5,1,0,1,1,2,2,1,1,0,,,415056,2015072103504
FF,444379,35,5,5,1,0,1,1,2,2,1,1,0,0.9,4.0,415056,2015072103505
FF,519306,36,1,5,1,0,0,0,0,2,1,0,0,,,415056,2015072103601
CH,519306,36,2,5,1,0,0,1,0,2,1,0,0,,,415056,2015072103602
SI,519306,36,3,5,1,0,0,2,0,2,1,0,0,,,415056,2015072103603
SI,519306,36,4,5,1,0,0,2,1,2,1,0,0,,,415056,2015072103604
CH,519306,36,5,5,1,0,0,2,2,2,1,0,0,0.0,,415056,2015072103605
SI,446334,40,1,6,1,0,0,0,0,0,1,1,1,0.0,2.0,415056,2015072104001
SI,425766,41,1,6,1,0,1,0,0,1,1,1,1,,,415056,2015072104101
CH,425766,41,2,6,1,0,1,0,1,1,1,1,1,,,415056,2015072104102
SI,425766,41,3,6,1,0,1,0,2,1,1,1,1,,,415056,2015072104103
CU,425766,41,4,6,1,0,1,1,2,1,1,1,1,,,415056,2015072104104
CH,425766,41,5,6,1,0,1,2,2,1,1,1,1,,,415056,2015072104105
FF,425766,41,6,6,1,0,1,2,2,1,1,1,1,0.0,2.0,415056,2015072104106
CU,523253,42,1,6,1,0,0,0,0,2,1,1,1,,,415056,2015072104201
CU,523253,42,2,6,1,0,0,1,0,2,1,1,1,,,415056,2015072104202
SI,523253,42,3,6,1,0,0,2,0,2,1,1,1,,,415056,2015072104203
SI,523253,42,4,6,1,0,0,2,1,2,1,1,1,,,415056,2015072104204
SI,523253,42,5,6,1,0,0,3,1,2,1,1,1,0.7,,415056,2015072104205
CH,595281,43,1,6,1,0,1,0,0,2,1,1,0,,,415056,2015072104301
SI,595281,43,2,6,1,0,1,1,0,2,1,1,0,,,415056,2015072104302
FF,595281,43,3,6,1,0,1,2,0,2,1,1,0,0.0,3.0,415056,2015072104303
FF,451594,7,1,1,0,3,1,0,0,0,1,1,1,,,415125,2015072600701
FF,451594,7,2,1,0,3,1,1,0,0,1,1,1,,,415125,2015072600702
SI,451594,7,3,1,0,3,1,1,1,0,1,1,1,,,415125,2015072600703
SI,451594,7,4,1,0,3,1,2,1,0,1,1,1,,,415125,2015072600704
CH,451594,7,5,1,0,3,1,2,2,0,1,1,1,,,415125,2015072600705
CH,451594,7,6,1,0,3,1,2,2,0,1,1,1,,,415125,2015072600706
SI,451594,7,7,1,0,3,1,3,2,0,1,1,1,0.7,,415125,2015072600707
SI,656941,8,1,1,0,3,1,0,0,0,1,1,0,0.9,4.0,415125,2015072600801
CU,592178,9,1,1,0,3,0,0,0,0,0,1,0,,,415125,2015072600901
FF,592178,9,2,1,0,3,0,1,0,0,0,1,0,,,415125,2015072600902
FF,592178,9,3,1,0,3,0,1,1,0,0,1,0,0.0,5.0,415125,2015072600903
FF,519203,10,1,1,1,3,1,0,0,1,1,1,0,,,415125,2015072601001
CH,519203,10,2,1,1,3,1,1,0,1,1,1,0,,,415125,2015072601002
SI,519203,10,3,1,1,3,1,2,0,1,1,1,0,,,415125,2015072601003
SI,519203,10,4,1,1,3,1,3,0,1,1,1,0,0.0,4.0,415125,2015072601004
CU,624585,15,1,2,1,3,0,0,0,0,1,1,1,0.0,3.0,415125,2015072601501
FF,458085,16,1,2,1,3,1,0,0,1,1,1,1,,,415125,2015072601601
FF,458085,16,2,2,1,3,1,0,1,1,1,1,1,,,415125,2015072601602
CH,458085,16,3,2,1,3,1,1,1,1,1,1,1,,,415125,2015072601603
FF,458085,16,4,2,1,3,1,2,1,1,1,1,1,,,415125,2015072601604
CU,458085,16,5,2,1,3,1,2,2,1,1,1,1,0.0,2.0,415125,2015072601605
FF,516770,17,1,2,1,3,0,0,0,2,1,1,1,,,415125,2015072601701
FF,516770,17,2,2,1,3,0,0,1,2,1,1,1,,,415125,2015072601702
CU,516770,17,3,2,1,3,0,0,2,2,1,1,1,0.0,,415125,2015072601703
SI,434628,21,1,3,1,3,0,0,0,0,1,1,1,,,415125,2015072602101
CU,434628,21,2,3,1,3,0,0,1,0,1,1,1,0.0,2.0,415125,2015072602102
FF,608365,22,1,3,1,3,0,0,0,1,1,1,1,,,415125,2015072602201
SI,608365,22,2,3,1,3,0,1,0,1,1,1,1,,,415125,2015072602202
FF,608365,22,3,3,1,3,0,1,1,1,1,1,1,0.0,3.0,415125,2015072602203
FF,451594,23,1,3,1,3,1,0,0,2,1,1,1,2.0,6.0,415125,2015072602301
CH,656941,24,1,3,2,3,1,0,0,2,1,1,1,,,415125,2015072602401
CH,656941,24,2,3,2,3,1,1,0,2,1,1,1,,,415125,2015072602402
SI,656941,24,3,3,2,3,1,2,0,2,1,1,1,,,415125,2015072602403
SI,656941,24,4,3,2,3,1,3,0,2,1,1,1,0.7,,415125,2015072602404
CU,592178,25,1,3,2,3,0,0,0,2,1,1,0,0.0,,415125,2015072602501
SI,592178,33,1,4,2,6,0,0,0,0,1,1,1,,,415125,2015072603301
CH,592178,33,2,4,2,6,0,0,1,0,1,1,1,,,415125,2015072603302
SI,592178,33,3,4,2,6,0,0,2,0,1,1,1,,,415125,2015072603303
