pitch_type,batter,pitch_number,inning,bat_score,fld_score,stand,balls,strikes,outs_when_up,on_3b,on_2b,on_1b,game_pk,pitch_pk,count_rating,runner_pressure,score_diff,home_fld,opponent,woba_hist,lsangle_hist,prev_hth,pitch_count,batter_count
FF,444379,1,1,0,0,1,0,0,0,0,0,0,415056,2015072100101,0.5,0.0,0,1,TB,,,0,1,1
FF,444379,2,1,0,0,1,1,0,0,0,0,0,415056,2015072100102,0.33333333333333337,0.0,0,1,TB,,,0,2,1
FF,444379,3,1,0,0,1,1,1,0,0,0,0,415056,2015072100103,0.5833333333333334,0.0,0,1,TB,,,0,3,1
SI,444379,4,1,0,0,1,2,1,0,0,0,0,415056,2015072100104,0.4166666666666667,0.0,0,1,TB,,,0,4,1
FF,519306,1,1,0,0,0,0,0,0,0,1,0,415056,2015072100201,0.5,0.3333333333333333,0,1,TB,,,0,5,2
SI,519306,2,1,0,0,0,0,1,0,0,1,0,415056,2015072100202,0.75,0.3333333333333333,0,1,TB,,,0,6,2
FF,519306,3,1,0,0,0,0,2,0,0,1,0,415056,2015072100203,1.0,0.3333333333333333,0,1,TB,,,0,7,2
CU,446334,1,1,0,0,0,0,0,1,0,1,0,415056,2015072100301,0.5,0.3333333333333333,0,1,TB,,,0,8,3
FF,446334,2,1,0,0,0,1,0,1,0,1,0,415056,2015072100302,0.33333333333333337,0.3333333333333333,0,1,TB,,,0,9,3
FF,446334,3,1,0,0,0,1,1,1,0,1,0,415056,2015072100303,0.5833333333333334,0.3333333333333333,0,1,TB,,,0,10,3
CU,446334,4,1,0,0,0,1,2,1,0,1,0,415056,2015072100304,0.8333333333333334,0.3333333333333333,0,1,TB,,,0,11,3
CU,446334,5,1,0,0,0,2,2,1,0,1,0,415056,2015072100305,0.6666666666666667,0.3333333333333333,0,1,TB,,,0,12,3
FF,425766,1,1,0,0,1,0,0,2,0,1,0,415056,2015072100401,0.5,0.3333333333333333,0,1,TB,,,0,13,4
FF,425766,2,1,0,0,1,0,1,2,0,1,0,415056,2015072100402,0.75,0.3333333333333333,0,1,TB,,,0,14,4
CH,425766,3,1,0,0,1,1,1,2,0,1,0,415056,2015072100403,0.5833333333333334,0.3333333333333333,0,1,TB,,,0,15,4
FF,425766,4,1,0,0,1,1,2,2,0,1,0,415056,2015072100404,0.8333333333333334,0.3333333333333333,0,1,TB,,,0,16,4
CU,425766,5,1,0,0,1,1,2,2,0,1,0,415056,2015072100405,0.8333333333333334,0.3333333333333333,0,1,TB,,,0,17,4
SI,425766,6,1,0,0,1,2,2,2,0,1,0,415056,2015072100406,0.6666666666666667,0.3333333333333333,0,1,TB,,,0,18,4
FF,523253,1,2,0,0,0,0,0,0,0,0,0,415056,2015072100901,0.5,0.0,0,1,TB,,,0,19,5
FF,523253,2,2,0,0,0,1,0,0,0,0,0,415056,2015072100902,0.33333333333333337,0.0,0,1,TB,,,0,20,5
FF,523253,3,2,0,0,0,2,0,0,0,0,0,415056,2015072100903,0.16666666666666669,0.0,0,1,TB,,,0,21,5
FF,523253,4,2,0,0,0,2,1,0,0,0,0,415056,2015072100904,0.4166666666666667,0.0,0,1,TB,,,0,22,5
CU,523253,5,2,0,0,0,2,2,0,0,0,0,415056,2015072100905,0.6666666666666667,0.0,0,1,TB,,,0,23,5
FF,595281,1,2,0,0,1,0,0,1,0,0,0,415056,2015072101001,0.5,0.0,0,1,TB,,,0,24,6
FF,518653,1,2,0,0,0,0,0,2,0,0,0,415056,2015072101101,0.5,0.0,0,1,TB,,,0,25,7
CU,518653,2,2,0,0,0,0,1,2,0,0,0,415056,2015072101102,0.75,0.0,0,1,TB,,,0,26,7
CU,425784,1,2,0,0,0,0,0,2,0,0,1,415056,2015072101201,0.5,0.16666666666666666,0,1,TB,,,0,27,8
CU,425784,2,2,0,0,0,0,1,2,0,0,1,415056,2015072101202,0.75,0.16666666666666666,0,1,TB,,,0,28,8
FF,425784,3,2,0,0,0,0,2,2,0,0,1,415056,2015072101203,1.0,0.16666666666666666,0,1,TB,,,0,29,8
FF,501992,1,3,0,0,0,0,0,0,0,0,0,415056,2015072101801,0.5,0.0,0,1,TB,,,0,30,9
FF,444379,1,3,1,0,1,0,0,0,0,0,0,415056,2015072101901,0.5,0.0,-1,1,TB,1.25,,1,31,10
SI,444379,2,3,1,0,1,1,0,0,0,0,0,415056,2015072101902,0.33333333333333337,0.0,-1,1,TB,1.25,,1,32,10
FF,444379,3,3,1,0,1,2,0,0,0,0,0,415056,2015072101903,0.16666666666666669,0.0,-1,1,TB,1.25,,1,33,10
CH,444379,4,3,1,0,1,2,1,0,0,0,0,415056,2015072101904,0.4166666666666667,0.0,-1,1,TB,1.25,,1,34,10
FF,444379,5,3,1,0,1,3,1,0,0,0,0,415056,2015072101905,0.25,0.0,-1,1,TB,1.25,,1,35,10
CH,444379,6,3,1,0,1,3,2,0,0,0,0,415056,2015072101906,0.5,0.0,-1,1,TB,1.25,,1,36,10
FF,519306,1,3,1,0,0,0,0,1,0,0,0,415056,2015072102001,0.5,0.0,-1,1,TB,0.0,,1,37,11
SI,519306,2,3,1,0,0,0,1,1,0,0,0,415056,2015072102002,0.75,0.0,-1,1,TB,0.0,,1,38,11
FF,519306,3,3,1,0,0,0,2,1,0,0,0,415056,2015072102003,1.0,0.0,-1,1,TB,0.0,,1,39,11
CU,519306,4,3,1,0,0,0,2,1,0,0,0,415056,2015072102004,1.0,0.0,-1,1,TB,0.0,,1,40,11
SI,446334,1,3,1,0,0,0,0,2,0,0,0,415056,2015072102101,0.5,0.0,-1,1,TB,0.0,,1,41,12
CU,446334,2,3,1,0,0,1,0,2,0,0,0,415056,2015072102102,0.33333333333333337,0.0,-1,1,TB,0.0,,1,42,12
CH,446334,3,3,1,0,0,1,1,2,0,0,0,415056,2015072102103,0.5833333333333334,0.0,-1,1,TB,0.0,,1,43,12
CH,425766,1,4,1,0,1,0,0,0,0,0,0,415056,2015072102601,0.5,0.0,-1,1,TB,0.0,,1,44,13
FF,425766,2,4,1,0,1,0,1,0,0,0,0,415056,2015072102602,0.75,0.0,-1,1,TB,0.0,,1,45,13
SI,425766,3,4,1,0,1,1,1,0,0,0,0,415056,2015072102603,0.5833333333333334,0.0,-1,1,TB,0.0,,1,46,13
FF,523253,1,4,1,0,0,0,0,1,0,0,0,415056,2015072102701,0.5,0.0,-1,1,TB,0.0,,1,47,14
CH,523253,2,4,1,0,0,0,1,1,0,0,0,415056,2015072102702,0.75,0.0,-1,1,TB,0.0,,1,48,14
SI,523253,3,4,1,0,0,0,2,1,0,0,0,415056,2015072102703,1.0,0.0,-1,1,TB,0.0,,1,49,14
CH,595281,1,4,1,0,1,0,0,2,0,0,0,415056,2015072102801,0.5,0.0,-1,1,TB,0.0,,1,50,15
SI,595281,2,4,1,0,1,1,0,2,0,0,0,415056,2015072102802,0.33333333333333337,0.0,-1,1,TB,0.0,,1,51,15
FF,518653,1,5,1,0,0,0,0,0,0,0,0,415056,2015072103201,0.5,0.0,-1,1,TB,0.9,,1,52,16
FF,518653,2,5,1,0,0,1,0,0,0,0,0,415056,2015072103202,0.33333333333333337,0.0,-1,1,TB,0.9,,1,53,16
FF,518653,3,5,1,0,0,1,1,0,0,0,0,415056,2015072103203,0.5833333333333334,0.0,-1,1,TB,0.9,,1,54,16
FF,425784,1,5,1,0,0,0,0,1,0,0,0,415056,2015072103301,0.5,0.0,-1,1,TB,0.0,,1,55,17
FF,425784,2,5,1,0,0,1,0,1,0,0,0,415056,2015072103302,0.33333333333333337,0.0,-1,1,TB,0.0,,1,56,17
SI,425784,3,5,1,0,0,2,0,1,0,0,0,415056,2015072103303,0.16666666666666669,0.0,-1,1,TB,0.0,,1,57,17
CH,425784,4,5,1,0,0,2,1,1,0,0,0,415056,2015072103304,0.4166666666666667,0.0,-1,1,TB,0.0,,1,58,17
CH,425784,5,5,1,0,0,2,2,1,0,0,0,415056,2015072103305,0.6666666666666667,0.0,-1,1,TB,0.0,,1,59,17
SI,501992,1,5,1,0,0,0,0,1,0,0,1,415056,2015072103401,0.5,0.16666666666666666,-1,1,TB,2.0,6.0,1,60,18
SI,501992,2,5,1,0,0,1,0,1,0,0,1,415056,2015072103402,0.33333333333333337,0.16666666666666666,-1,1,TB,2.0,6.0,1,61,18
SI,501992,3,5,1,0,0,1,1,1,0,0,1,415056,2015072103403,0.5833333333333334,0.16666666666666666,-1,1,TB,2.0,6.0,1,62,18
