,0
pitch_type,SL
game_date,2020-09-21
release_speed,85.1
release_pos_x,-2.27
release_pos_z,5.86
player_name,Mike Mayers
batter,425772
pitcher,594577
events,strikeout
description,swinging_strike
spin_dir,
spin_rate_deprecated,
break_angle_deprecated,
break_length_deprecated,
zone,14
des,Jeff Mathis strikes out swinging.  
game_type,R
stand,R
p_throws,R
home_team,LAA
away_team,TEX
type,S
hit_location,2.0
bb_type,
balls,1
strikes,2
game_year,2020
pfx_x,0.37
pfx_z,-0.08
plate_x,1.2
plate_z,1.71
on_3b,
on_2b,
on_1b,
outs_when_up,2
inning,9
inning_topbot,Top
hc_x,
hc_y,
tfs_deprecated,
tfs_zulu_deprecated,
fielder_2,545358
umpire,
sv_id,
vx0,7.33777917301957
vy0,-123.77022231395
vz0,-3.19003929389984
ax,2.17449993219751
ay,26.3981493366627
az,-32.5400630422885
sz_top,3.15
sz_bot,1.49
hit_distance_sc,
launch_speed,
launch_angle,
effective_speed,84.1
release_spin_rate,2076
release_extension,5.8
game_pk,631376
pitcher.1,594577
fielder_2.1,545358
fielder_3,665120
fielder_4,650859
fielder_5,664058
fielder_6,592743
fielder_7,621493
fielder_8,545361
fielder_9,666176
release_pos_y,54.7
estimated_ba_using_speedangle,
estimated_woba_using_speedangle,
woba_value,0.0
woba_denom,1.0
babip_value,0.0
iso_value,0.0
launch_speed_angle,
at_bat_number,73
pitch_number,4
pitch_name,Slider
home_score,8
away_score,5
bat_score,5
fld_score,8
post_away_score,5
post_home_score,8
post_bat_score,5
post_fld_score,8
if_fielding_alignment,Standard
of_fielding_alignment,Standard
